Date,Minimum daily air temperature,Maximum daily air temperature,Daily precipitation,Solar radiation,PAR
2/21/1982,9.4,24.4,0,16.6,33.9
2/22/1982,7.8,21.1,0,17,34.8
2/23/1982,1.1,23.9,0,17.7,36.2
2/24/1982,3.3,26.7,0,17.5,35.7
2/25/1982,10.6,27.2,0,14.8,30.3
2/26/1982,11.1,26.7,0,3.4,6.9
2/27/1982,8.9,25.6,0,8.9,18.2
2/28/1982,15.6,24.4,0,9.3,19.1
3/1/1982,8.3,17.8,0,10.9,22.2
3/2/1982,1.7,22.8,0,18.4,37.7
3/3/1982,6.1,25,0,17.6,36
3/4/1982,9.4,28.3,0,16.2,33.1
3/5/1982,16.1,27.8,8.4,6.3,12.9
3/6/1982,16.1,25,35.1,10.3,21.1
3/7/1982,15,24.4,14.2,9,18.4
3/8/1982,1.1,16.7,0,19.8,40.4
3/9/1982,3.9,21.7,0,19.6,40
3/10/1982,10.6,25.6,0,16.1,32.9
3/11/1982,9.4,27.8,0,17.7,36.2
3/12/1982,11.1,28.9,0,20,41
3/13/1982,10,30.6,0,19,38.8
3/14/1982,15.6,31.7,0,18.4,37.6
3/15/1982,16.7,30,0,17.5,35.7
3/16/1982,16.1,30,0,15.9,32.5
3/17/1982,15.6,30.6,0,19.5,39.9
3/18/1982,17.2,31.7,0,17.4,35.6
3/19/1982,18.3,30.6,1.8,16.7,34.2
3/20/1982,18.9,30.6,0,17.4,35.6
3/21/1982,15.6,30,0,13.6,27.8
3/22/1982,17.2,28.3,0.3,10,20.5
3/23/1982,16.1,26.1,9.4,13.2,27
3/24/1982,16.1,26.1,4.3,4.3,8.8
3/25/1982,16.1,27.8,26.2,17,34.8
3/26/1982,14.4,26.7,2.8,18.8,38.4
3/27/1982,5.6,22.2,0,12.9,26.3
3/28/1982,8.9,15.6,9.7,3.8,7.7
3/29/1982,10,21.1,25.7,9.9,20.3
3/30/1982,13.3,26.1,0,21.5,44
3/31/1982,14.4,26.7,0,16.1,33
4/1/1982,12.8,30.6,0,21,42.6
4/2/1982,14.4,29.4,0,22.1,44.4
4/3/1982,17.8,28.9,0,11.4,23.5
4/4/1982,9.4,28.3,0,23.8,45.3
4/5/1982,11.1,29.4,0,18.9,37.6
4/6/1982,17.2,25.6,0,24.1,46
4/7/1982,6.7,22.2,0,25.1,48.1
4/8/1982,11.1,21.1,48,0.8,2.2
4/9/1982,17.2,23.3,98.8,8.8,18
4/10/1982,10.6,23.9,3.6,3.8,8.4
4/11/1982,8.9,20.6,42.7,23,43.6
4/12/1982,6.1,25,0,25.4,48.6
4/13/1982,11.7,28.3,0,21.6,42.6
4/14/1982,15,27.2,0,21.6,42.1
4/15/1982,15,28.3,0,16.6,32.9
4/16/1982,17.8,30.6,0,20.7,40.8
4/17/1982,19.4,31.1,0.5,21,41.6
4/18/1982,18.9,30,0.5,18.9,37.1
4/19/1982,15,30,0,21.6,42.8
4/20/1982,18.9,31.1,0,20.7,40.8
4/21/1982,17.2,32.2,0,24.3,48.3
4/22/1982,17.8,31.7,0,23.7,46.7
4/23/1982,15.6,31.1,0,8.6,18.1
4/24/1982,13.9,22.2,0,7.5,16
4/25/1982,16.7,25.6,4.3,7.7,16.5
4/26/1982,19.4,25.6,23.1,10.7,22.6
4/27/1982,15.6,29.4,0.3,23.4,46.4
4/28/1982,13.3,28.9,0,23.7,46.2
4/29/1982,14.4,27.2,0,18.5,36.4
4/30/1982,15.6,26.7,0,20.7,41.1
5/1/1982,15.6,26.7,0,18.2,36.3
5/2/1982,15,27.8,0,19.9,39.6
5/3/1982,15,28.9,0,21.8,43.2
5/4/1982,12.8,28.9,0,23.6,46.2
5/5/1982,14.4,28.3,0,24.4,47
5/6/1982,12.2,27.8,0,21.7,42.2
5/7/1982,11.7,28.9,0,23.6,45.8
5/8/1982,17.8,29.4,1,18.2,35.9
5/9/1982,15,29.4,0,26.3,51.2
5/10/1982,13.3,29.4,0,26.3,50.3
5/11/1982,11.1,30,0,24.9,48.3
5/12/1982,13.3,31.1,0,23.5,46.3
5/13/1982,13.3,30.6,0,24.2,47.6
5/14/1982,12.8,31.1,0,26.7,52.5
5/15/1982,15.6,32.2,0,23.9,46.9
5/16/1982,15.6,33.3,0,22.8,44.7
5/17/1982,15.6,32.8,0,22.7,44.6
5/18/1982,16.7,31.1,0,21.5,42.7
5/19/1982,16.7,30.6,0,22.4,45.1
5/20/1982,16.1,31.7,0,22.5,45.7
5/21/1982,16.1,32.2,0,22.6,46.2
5/22/1982,16.7,32.8,2,17.4,36.7
5/23/1982,20,33.3,35.1,13.2,27
5/24/1982,18.9,32.8,3.6,21.5,43.9
5/25/1982,20,32.8,2.5,20.3,42.1
5/26/1982,20.6,31.7,1,15,31.5
5/27/1982,21.1,32.2,0,18.2,37.5
5/28/1982,20.6,33.3,4.3,22.1,44.8
5/29/1982,22.2,34.4,0,19.3,39.5
5/30/1982,22.8,32.2,5.6,7,15.7
5/31/1982,20.6,30,23.9,11.8,24.7
6/1/1982,21.1,31.1,15.2,20,43.9
6/2/1982,20,33.3,0,24.9,53.5
6/3/1982,22.8,33.3,1.8,15.8,34.4
6/4/1982,22.2,33.3,0,21.6,47.5
6/5/1982,18.3,33.9,0,23.8,51.6
6/6/1982,18.3,34.4,0,26.5,56.3
6/7/1982,18.3,33.9,0,26.9,57.2
6/8/1982,17.2,34.4,0,26.3,56.3
6/9/1982,19.4,34.4,0,24.4,51.8
6/10/1982,21.1,34.4,0,25.5,54.7
6/11/1982,19.4,35,0,23.6,51.1
6/12/1982,20,31.1,50.8,15.2,33.4
6/13/1982,21.1,33.3,0,21.1,46.1
6/14/1982,18.3,33.3,0,25.5,55.7
6/15/1982,20.6,33.9,0,23.2,51.3
6/16/1982,22.2,33.9,0,25.5,56.1
6/17/1982,21.1,31.1,8.1,6,14.4
6/18/1982,21.1,27.8,70.1,13.5,30
6/19/1982,20,33.3,0,24.3,52.9
6/20/1982,21.1,33.9,0,25.9,56.2
6/21/1982,20,32.8,3.3,20.9,46.5
6/22/1982,23.3,28.3,2,18.5,40.3
6/23/1982,21.7,27.8,26.9,11.7,25.4
6/24/1982,22.2,30.6,6.4,18.6,39.9
6/25/1982,19.4,32.2,10.9,22.9,48.4
6/26/1982,21.7,31.7,23.4,10.5,23.3
6/27/1982,21.1,32.2,1.8,24.6,51.3
6/28/1982,21.7,32.8,0,24.6,52.4
6/29/1982,22.2,33.3,0,24.8,52.3
6/30/1982,22.8,32.8,1.3,16,34.3
7/1/1982,22.2,33.9,0,23.7,48.5
7/2/1982,23.9,33.9,0,18.7,38.2
7/3/1982,21.1,35,0,24.6,50.3
7/4/1982,22.2,35,0,21.1,43.1
7/5/1982,21.1,34.4,0,23.7,48.5
7/6/1982,20.6,32.2,4.1,19,38.9
7/7/1982,21.1,31.7,4.8,16,32.7
7/8/1982,21.1,32.2,1.3,19.8,40.5
7/9/1982,22.2,32.2,7.1,13.7,28
7/10/1982,21.7,32.8,1.3,17.4,35.6
7/11/1982,21.1,32.8,0,18.3,37.4
7/12/1982,21.1,32.8,2.3,21,43
7/13/1982,22.2,33.9,0,23.2,47.4
7/14/1982,22.2,34.4,0,25.4,51.9
7/15/1982,23.3,33.9,55.9,18.3,37.4
7/16/1982,22.8,32.8,1,14.9,30.5
7/17/1982,22.8,31.1,0,13.6,27.8
7/18/1982,22.8,32.2,2.5,14.3,29.2
7/19/1982,22.2,32.2,30,17,34.8
7/20/1982,21.7,31.1,20.8,10.9,22.3
7/21/1982,21.1,31.1,1.5,13.2,27
7/22/1982,22.2,31.1,0.3,17.9,36.6
7/23/1982,22.8,32.8,16,16.1,32.9
7/24/1982,21.7,32.2,4.1,18.4,37.6
7/25/1982,21.7,33.3,0,19.7,40.3
7/26/1982,22.2,33.9,0.8,19.4,39.7
7/27/1982,23.3,34.4,10.7,5.2,10.6
7/28/1982,22.8,27.8,7.4,9.5,19.4
7/29/1982,22.8,31.7,0,14.9,30.5
7/30/1982,21.7,32.8,0,19.4,39.7
7/31/1982,21.1,33.9,0,20.1,41.1
8/1/1982,23.3,33.9,0,23.5,48.1
8/2/1982,22.8,32.8,13,9.6,19.6
8/3/1982,22.8,32.2,20.1,22.5,46
8/4/1982,20.6,32.2,0,21,35.1
8/5/1982,21.7,32.2,0,14.7,25.2
8/6/1982,21.1,32.2,4.1,18.5,33.1
8/7/1982,21.7,33.9,0.3,23,40.6
8/8/1982,26.1,33.9,0,21,35.4
8/9/1982,22.8,32.8,1.3,17.1,28.4
8/10/1982,23.3,33.3,0,16.6,27.7
8/11/1982,18.9,33.3,0,25.6,42.7
8/12/1982,20.6,33.3,0.3,19,32.3
8/13/1982,20.6,32.2,0.8,16.1,28.5
8/14/1982,22.2,31.7,0,16.4,28.4
8/15/1982,20.6,35,0.8,20.3,30.4
8/16/1982,21.1,33.9,0,20.3,30.2
8/17/1982,22.2,32.2,13.7,19,28.9
8/18/1982,20.6,26.7,3.3,16.6,24.3
8/19/1982,21.7,28.3,20.3,7.9,11.2
8/20/1982,21.1,32.2,0,20.4,26.8
8/21/1982,21.7,32.2,5.1,11.8,16.2
8/22/1982,22.2,32.2,1.3,16.6,22.3
8/23/1982,22.2,31.7,64.5,15.2,20.9
8/24/1982,22.8,33.3,1.3,18.9,24.4
8/25/1982,22.2,33.3,0,18.8,24.6
8/26/1982,23.9,35.6,0,21.4,28.5
8/27/1982,22.8,35.6,3.6,11,15.2
8/28/1982,22.2,35,0,18.6,25.9
8/29/1982,22.2,35,3.6,15.8,22.3
8/30/1982,21.1,31.1,0,22.5,31.4
8/31/1982,20.6,32.2,0,21.1,30.4
9/1/1982,20.6,32.2,0,13.2,27
9/2/1982,18.3,33.3,0,15.6,32
9/3/1982,22.2,34.4,0,16.9,34.5
9/4/1982,22.2,34.4,0,17,34.7
9/5/1982,21.7,33.9,11.9,12.2,25
9/6/1982,21.1,34.4,2,9,18.5
9/7/1982,20,30,0,11.1,22.6
9/8/1982,20.6,30.6,19,9.6,19.6
9/9/1982,21.1,30,39.9,7.1,14.5
9/10/1982,21.1,30,24.1,5.5,11.3
9/11/1982,21.7,32.8,7.6,13.4,27.4
9/12/1982,22.8,33.3,0,14.6,29.8
9/13/1982,22.8,33.3,2.5,14.5,29.7
9/14/1982,22.2,32.8,1.8,12.3,25.1
9/15/1982,19.4,32.2,0,13,26.5
9/16/1982,21.7,32.8,0,12.6,25.8
9/17/1982,21.7,32.8,0,13.9,28.4
9/18/1982,21.1,32.8,0,12.2,24.9
9/19/1982,21.1,32.8,15.7,12.2,25
9/20/1982,21.1,31.7,7.4,11.1,22.8
9/21/1982,21.1,29.4,12.7,5.2,10.7
9/22/1982,19.4,27.8,0,11.4,23.4
9/23/1982,15,27.2,0,8.9,18.2
9/24/1982,17.8,30,0,11.2,23
9/25/1982,20,28.9,8.9,5,10.3
9/26/1982,16.7,25,24.1,7.6,15.5
9/27/1982,14.4,28.9,0,15.6,32
9/28/1982,16.7,29.4,0,13.9,28.4
9/29/1982,18.3,29.4,0,12.1,24.8
9/30/1982,21.1,28.9,2.5,6.7,13.8
10/1/1982,21.7,26.7,0,8,12
10/2/1982,19.4,28.3,0,10,15
10/3/1982,18.3,30,0,19,28
10/4/1982,20.6,31.7,0,16,25
10/5/1982,22.8,31.1,0,9,14
10/6/1982,21.7,31.1,13,16,26
10/7/1982,21.1,30,0,13,31
10/8/1982,17.2,31.7,0,17,41
10/9/1982,18.9,31.7,0,15,37
10/10/1982,20,32.8,0,15,37
10/11/1982,21.7,32.2,0,13,32
10/12/1982,21.7,29.4,0,11,28
10/13/1982,18.9,30.6,0,14,34
10/14/1982,16.7,28.9,0,10,24
10/15/1982,11.7,27.8,0,15,35
10/16/1982,10,26.1,0,9,22
10/17/1982,13.3,26.7,0,14,32
10/18/1982,15,25.6,0,6,14
10/19/1982,16.1,28.3,0,14,33
10/20/1982,16.7,30,0,13,30
10/21/1982,15,30,0,14,32
10/22/1982,16.1,29.4,0,11,27
10/23/1982,14.4,27.8,16.5,2,5
10/24/1982,8.9,18.9,1.3,14,31
10/25/1982,5.6,20.6,0,16,35
10/26/1982,6.1,22.8,0,15,34
10/27/1982,7.2,23.9,0,15,34
10/28/1982,11.7,25.6,0,14,31
10/29/1982,13.3,27.8,0,14,33
10/30/1982,16.1,27.8,0,9,21
10/31/1982,18.9,27.8,0,7,18
11/1/1982,20,29.4,0.3,11,22
11/2/1982,20.6,29.4,0,9,17
11/3/1982,19.4,28.9,21.6,9,19
11/4/1982,17.8,26.7,16.5,9,20
11/5/1982,7.2,18.3,0,10,20
11/6/1982,2.2,18.9,0,12,25
11/7/1982,7.8,21.1,0,12,26
11/8/1982,12.8,24.4,0,13,26
11/9/1982,12.8,25,0,11,23
11/10/1982,10.6,25.6,0,12,24
11/11/1982,15.6,26.7,0,8,16
11/12/1982,14.4,27.8,0,7,15
11/13/1982,13.3,31.1,3.6,11,24
11/14/1982,6.7,25,0,12,24
11/15/1982,15,23.9,0,10,21
11/16/1982,9.4,23.9,0,11,22
11/17/1982,15.6,26.7,0,13,26
11/18/1982,17.8,28.3,0,13,27
11/19/1982,17.8,26.7,0,11,23
11/20/1982,17.2,25.6,0,12,25
11/21/1982,17.2,27.2,0,14,30
11/22/1982,18.3,26.1,0,13,27
11/23/1982,14.4,27.2,0,13,28
11/24/1982,12.2,27.8,0,13,27
11/25/1982,12.8,27.2,0,15,31
11/26/1982,15.6,26.7,0,12,25
11/27/1982,15.6,27.8,0,3,7
11/28/1982,15.6,28.9,0,10,21
11/29/1982,18.9,27.2,0,10,21
11/30/1982,19.4,29.4,0,9,27
12/1/1982,20.6,28.9,0,8,20
12/2/1982,21.1,29.4,0,10,25
12/3/1982,18.9,29.4,0,11,26
12/4/1982,18.3,28.9,0,11,26
12/5/1982,17.2,28.9,0,8,20
12/6/1982,15.6,27.2,0,2,6
12/7/1982,14.4,21.7,0,5,13
12/8/1982,17.2,20,0,2,6
12/9/1982,14.4,23.3,0,7,17
12/10/1982,15.6,22.2,3.3,2,6
12/11/1982,17.2,26.1,0,5,14
12/12/1982,10,23.9,19,2,5
12/13/1982,2.8,12.8,0,11,25
12/14/1982,3.3,18.9,0,6,16
12/15/1982,12.8,25,0,8,20
12/16/1982,15.6,23.9,13.7,6,15
12/17/1982,2.8,20,0,11,25
12/18/1982,-1.1,15.6,0,11,26
12/19/1982,-1.1,20,0,9,21
12/20/1982,1.1,18.9,0,11,26
12/21/1982,0.6,19.4,0,11,26
12/22/1982,0.6,19.4,0,11,26
12/23/1982,4.4,23.3,0,9,22
12/24/1982,13.3,26.7,0,9,23
12/25/1982,15.6,27.2,0,11,27
12/26/1982,15.6,27.2,0,10,24
12/27/1982,16.7,25,0,6,14
12/28/1982,16.1,26.7,0,8,21
12/29/1982,14.4,26.7,0,7,17
12/30/1982,13.9,23.3,0.5,2,6
12/31/1982,12.8,16.7,0.8,2,5
